-,-,-
-348, 44, 494
-348, 44, 494
-450, -225, 624
-712, -654, 395
-1006, -1532, -88
-936, -1998, 510
-815, -1977, 1800
-633, -1249, 1998
-533, 231, 1998
-187, 1265, 1998
421, 1869, 1998
1087, 1997, 1998
1655, 1997, 1998
1987, 1997, 1729
1997, 1997, 908
1997, 1997, 404
1997, 1997, -471
1914, 1840, -1100
1741, 1355, -1473
1666, 627, -1730
1743, -407, -1601
1789, -1445, -1269
1578, -1889, -1344
1578, -1998, -1100
1621, -1998, -764
1308, -1998, 108
934, -1998, 751
776, -1998, 1629
725, -1336, 1998
-,-,-
-419, -451, 187
-581, -702, -412
-911, -1767, -82
-1162, -1998, 1053
-795, -1907, 1935
-460, -964, 1998
-62, -30, 1998
492, 968, 1998
916, 1931, 1998
1387, 1997, 1998
1387, 1997, 1998
1908, 1997, 1998
1997, 1997, 1929
1997, 1997, 1042
1997, 1997, 147
1997, 1997, -531
1997, 1907, -1078
1997, 1113, -1316
1997, 112, -1128
1997, -592, -1158
1995, -1120, -1195
1814, -1510, -1382
1874, -1986, -1538
1667, -1998, -1028
1370, -1998, -214
1363, -1998, 658
1433, -1905, 1638
1343, -323, 1998
1076, 1517, 1998
754, 1997, 1998
754, 1997, 1998
589, 1953, 1998
-,-,-
-509, 187, 68
-688, -260, -60
-691, -1352, -1
-874, -1984, 81
-615, -1998, 1085
-11, -1985, 1998
336, -1089, 1998
522, 297, 1998
720, 1461, 1998
934, 1997, 1998
1371, 1997, 1998
1843, 1997, 1910
1996, 1997, 1081
1997, 1997, 601
1997, 1997, 601
1997, 1997, 32
1977, 1988, -568
1985, 1569, -869
1971, 972, -885
1990, 332, -638
1997, -285, -656
1997, -800, -983
1969, -1381, -1422
1747, -1956, -1443
1577, -1998, -1487
1510, -1998, -1375
1443, -1998, -692
1266, -1998, 302
1099, -1996, 1460
1083, -1179, 1995
986, -128, 1998
727, 812, 1998
370, 1295, 1998
152, 979, 1998
-,-,-
-588, -750, 686
-588, -750, 183
-946, -1386, 183
-1013, -1998, 429
-553, -1998, 1841
-353, -972, 1998
-2, 123, 1998
464, 893, 1998
896, 1847, 1998
1422, 1997, 1998
1895, 1997, 1998
1997, 1997, 1796
1997, 1997, 1407
1997, 1997, 782
1951, 1997, 270
1906, 1997, -449
1886, 1706, -1184
1930, 1090, -1444
1807, 625, -1528
1757, 131, -1441
1937, -612, -1308
1997, -1704, -1212
1967, -1998, -936
1438, -1998, -943
1097, -1998, -714
961, -1998, -178
584, -1998, 409
244, -1998, 1411
146, -1998, 1847
419, -1839, 1998
555, -609, 1998
568, 648, 1998
568, 648, 1998
459, 1302, 1998
419, 1394, 1998
-,-,-
-299, -261, 432
-395, -539, 385
-688, -1105, 508
-1235, -1917, 316
-602, -1998, 1186
-38, -1677, 1995
268, 139, 1998
643, 805, 1998
1064, 1156, 1998
1469, 1857, 1998
1872, 1997, 1998
1997, 1997, 1993
1997, 1997, 1822
1997, 1997, 1587
1997, 1997, 900
1947, 1997, 81
1947, 1997, 81
1992, 1997, -799
1997, 1807, -1272
1997, 1069, -1510
1997, 569, -1634
1997, -69, -1627
1997, -1274, -1677
1997, -1998, -1419
1770, -1998, -1337
702, -1998, -835
702, -1998, -835
805, -1998, -232
773, -1998, 569
693, -1998, 1164
841, -1509, 1737
1100, -524, 1996
1132, 559, 1998
870, 1242, 1998
-,-,-
-213, -52, 793
-206, -143, 767
-183, -342, 698
-359, -702, 468
-720, -1703, 435
-954, -1998, 926
-467, -1998, 1823
198, -1998, 1998
708, -1289, 1998
1116, 150, 1998
1440, 1588, 1998
1836, 1997, 1998
1997, 1997, 1998
1997, 1997, 1925
1997, 1997, 1026
1997, 1997, 403
1987, 1997, -105
1993, 1997, -596
1997, 1665, -907
1997, 719, -644
1997, -242, -686
1997, -242, -686
1997, -1100, -1024
1997, -1998, -1997
1700, -1998, -1985
887, -1998, -1467
384, -1998, -288
360, -1998, 758
421, -1998, 1551
400, -1655, 1998
703, -1363, 1998
1073, -1040, 1998
1027, 144, 1998
1027, 144, 1998
815, 1419, 1998
-,-,-
-256, 16, 649
-277, -181, 575
-277, -181, 575
-394, -576, 753
-486, -1086, 1083
-493, -1208, 1449
-772, -1101, 1988
-457, -1308, 1998
135, -798, 1998
584, 135, 1998
1132, 880, 1998
1722, 1427, 1998
1997, 1892, 1998
1997, 1997, 1565
1997, 1997, 531
1997, 1997, -494
1997, 1997, -1450
1997, 1997, -1996
1997, 1444, -1960
1997, 210, -1614
1997, -678, -1143
1997, -1443, -938
1759, -1998, -1194
1382, -1998, -1513
1013, -1998, -1078
557, -1998, -649
338, -1998, -156
153, -1998, 844
45, -1761, 1681
286, -226, 1998
-,-,-
-1009, -548, -157
-1284, -1387, 540
-899, -1775, 860
-899, -1775, 860
-158, -1199, 1916
502, -664, 1998
1058, -99, 1998
1574, 208, 1998
1893, 755, 1998
1997, 1482, 1998
1997, 1959, 1998
1997, 1997, 1633
1997, 1997, 825
1997, 1997, 58
1997, 1997, -1309
1997, 1933, -1907
1997, 1048, -1630
1997, 74, -1417
1997, -614, -1057
1947, -1072, -1100
1739, -1273, -1075
1424, -1571, -904
1239, -1998, -935
1035, -1998, -1000
795, -1998, -624
604, -1998, -305
556, -1998, 413
461, -1986, 1254
485, -826, 1957
832, 110, 1998
1116, 638, 1998
1031, 1261, 1998
752, 1394, 1998
-,-,-
-403, -282, 110
-530, -1225, 161
-672, -1998, 1170
-446, -1998, 1653
32, -1952, 1945
284, -1066, 1998
642, -244, 1998
642, -244, 1998
986, 509, 1998
1238, 1334, 1998
1532, 1969, 1998
1851, 1997, 1998
1997, 1997, 1998
1997, 1997, 1947
1997, 1997, 1337
1997, 1997, 247
1997, 1997, -714
1955, 1665, -1082
1959, 620, -1026
1997, -400, -897
1997, -1352, -965
1997, -1801, -1056
1926, -1880, -1242
1543, -1998, -1331
1026, -1998, -1835
573, -1998, -1627
149, -1998, -1303
62, -1998, -458
171, -1998, 393
256, -1743, 1311
490, -818, 1946
790, -423, 1998
662, 422, 1998
361, 1356, 1998
196, 1428, 1998
-,-,-
-328, -144, 560
-565, -527, 604
-756, -1520, 625
-767, -1998, 1114
-517, -1821, 1741
-180, -828, 1998
268, -281, 1998
669, 101, 1998
1025, 734, 1998
1394, 1162, 1998
1676, 1511, 1998
1870, 1952, 1996
1996, 1997, 1774
1920, 1997, 1082
1675, 1997, 407
1588, 1997, 56
1692, 1997, -554
1692, 1997, -554
1885, 1931, -1070
1996, 1138, -1358
1981, -128, -1257
1843, -372, -1477
1751, -943, -1662
1615, -1691, -1715
1426, -1998, -1179
1042, -1998, -925
925, -1998, -402
820, -1998, 228
756, -1998, 1181
731, -1989, 1886
814, -1218, 1998
900, -86, 1998
900, -86, 1998
714, 865, 1998
636, 1005, 1998
573, 938, 1998
502, 1109, 1998
-,-,-
-266, 169, 870
-229, 141, 846
-222, -112, 1049
